source_airport,destination_airport
FEG,OVB
SEA,SAN
LTN,VAR
MEX,LAP
MSY,ATL
YFB,YGT
CTA,VIE
ISG,OKA
LWY,BKM
SFT,ARN
DEL,BLR
SOQ,BXB
WUH,WNZ
SLC,GCC
FCO,GYD
MUC,GDN
IST,CAI
TSV,ISA
MCT,IST
PAD,PMI
TFS,DUB
LAX,YYC
BKK,PVG
LHR,HKG
ZRH,IST
OAK,HNL
BRU,OUA
BNE,CNS
FLL,ORH
CPH,JFK
KUL,TWU
YYC,PHX
BOG,PCR
NKG,PVG
VLI,NAN
DFW,AGU
VKO,SSH
DYU,KZN
BTS,GRO
VLI,EAE
CTA,TXL
PVR,SFO
PGF,NTE
AGP,DUS
MAA,JED
DEN,LIT
BIO,BRU
CGK,PKU
NYM,VKO
IAH,SJD
NAP,HAM
HRB,TSN
SEN,IBZ
SAP,IAH
FMM,SNN
YYZ,YQT
CGK,SRG
ARN,BKK
TLS,LIL
YYZ,FLL
TSE,ALA
GVA,STR
YOW,BOS
CDG,LIS
URC,CKG
BAH,ADD
MLE,DXB
CUN,MEX
KHH,KMG
IAH,PHL
MQP,DUR
LCA,CAI
MCT,KUL
BNE,WLG
DUS,NCL
CDG,BLQ
ALF,HFT
PMI,PAD
LPB,VVI
CDG,BKO
NSK,OVB
SCQ,VLC
AUS,ORD
DEN,BIL
FCO,MPL
HKG,EWR
TAO,JMU
LGA,DAY
SCL,ASU
HOG,MXP
DFW,BJX
NKG,PEK
IAD,ADD
YIH,SZX
GSP,SFB
DAC,JED
LIS,AMS
YLE,YZF
TLL,PJA
MCO,SEA
NTE,BCN
ICT,LAS
PMO,NAP
DEN,MCI
AKN,PIP
BSL,AMS
AMS,BRS
TYN,SHE
BNE,HIR
SCQ,ACE
BIO,BRU
ABJ,CDG
DJE,ORY
DAC,CCU
MFM,NRT
TPA,DTW
ADZ,MDE
PSO,CLO
CGO,KRL
EMA,CDG
DMM,BAH
MAD,ICN
LHR,HEL
DUB,NCL
BOG,CUC
GDL,LAX
STL,RDU
SKG,NUE
YCL,YHZ
NBO,JED
ZRH,EBA
JER,LGW
CDG,MRS
MRS,FRA
YNT,SZX
PEK,JMU
NTL,SYD
CGO,SZX
HKG,AKL
DFW,IAD
BRU,NSI
BLQ,BRI
MUC,BLQ
HGH,CTU
MCO,NAS
OSL,AJA
YEG,YMM
NAN,LAX
IAD,CDG
JNU,PSG
TXL,NUE
MSY,EWR
CUN,MAN
CDG,HAJ
YQB,YKL
PTP,MIA
KVD,LED
LGW,NAP
LHR,HND
ANU,FRA
TLS,ORN
TOY,ICN
PMI,LYS
AZA,PSC
CGQ,TAO
NGO,FUK
KMG,BHY
DFW,CZM
SIN,CGK
GTF,AZA
UTH,BKK
CDG,RIX
YGL,YPX
TXL,VIE
IXR,BOM
GRR,ORD
LIS,OTP
ORD,FAR
HEL,PRG
CRP,IAH
BAV,NAY
AJU,MCZ
IST,MRS
CDG,NRT
HAV,LIM
HKG,AKL
LHR,SEA
TPE,WUX
VRA,SNU
KIJ,ITM
DFW,LHR
CPH,TRF
TAO,SHA
SIN,SYD
JFK,MAN
DEN,PIR
DFW,NAS
DFW,MCI
LYS,BRU
DUB,BRS
RHO,CGN
OSL,VIE
AOI,TXL
FRA,AUH
LEX,PIE
ORD,DTW
COO,ABJ
BKK,NRT
FRA,CFU
FSC,LIL
HAM,BRS
ICN,TAO
KUL,BWN
CJU,TPE
DEN,BOI
SXF,BCN
RMQ,HUN
DLM,NCL
GRU,EZE
ABE,PGD
TRS,NAP
SZX,NNY
HRB,YKS
NGB,HAK
SEA,PEK
BWT,MEL
LIS,RAK
AMS,MUC
BFS,MLA
CDG,JFK
BYC,TJA
CIA,PMI
CDG,TIV
HKG,CGO
BRS,LPA
AMS,IAD
MRS,LIS
BRS,BOD
PVG,LZO
TUN,ORY
BUF,TPA
PVG,PEK
IST,ADB
SAN,SFO
FEZ,ORY
CAI,HRG
GYE,ESM
LIT,LGA
ICN,JFK
BRW,ATK
BKK,SIN
SHA,MFM
LIN,SUF
SRZ,BYC
BIO,OSL
ORY,AGP
SYD,LDH
HHN,FAO
BSL,AJA
MUC,SIN
MUC,NAP
BKK,KUL
KUL,OOL
CAN,TNA
MUC,BCN
XNN,CKG
FCO,DBV
DOK,DME
MEX,SFO
DLC,NGB
ZAD,BLL
MCI,MDW
BOG,PTY
CAN,XMN
RIX,CPH
ESB,TZX
URC,XIY
BOG,CCS
KWI,BEY
GIG,FLN
CLT,SJD
RGN,BKK
KHV,PEK
HKG,OKA
AEP,SLA
CMH,YYZ
CTU,SZX
LAX,RDM
SVO,MSQ
HET,PEK
CTU,ICN
TSE,OMS
AUH,PEW
CDG,SOF
MUC,MAD
MEX,VER
KLV,SVX
SVO,BCN
BOM,DEL
BUF,PHL
IST,HAM
MKE,ORD
DXB,MUX
GIG,SLZ
PVG,JNZ
LJG,SHA
HAN,VCA
ADD,LAD
PEK,TYN
PMI,LTN
PER,BME
PHL,SEA
MHD,ACZ
SHJ,TUK
ACE,MAN
CAN,CKG
LTN,BZR
OKC,DAL
LAS,CMH
TIJ,MZT
SIN,RGN
BGY,NYO
ATL,EWR
KUL,FOC
ICN,TLV
MEL,AKL
CRL,AGA
LJG,HGH
LED,HEL
HKT,DMK
YYZ,MCO
BOS,YOW
MPL,FRA
TBS,AMS
FUE,MUC
CSX,CTU
LBB,DFW
NGO,FRA
SJC,OGG
MQM,IST
ATL,GPT
HND,SIN
KZN,TAS
ALA,PPK
LAS,SFO
RMQ,MFM
AMS,FCO
SYD,PPP
BGO,AGP
SHA,NAY
AUS,IAH
LED,LBD
TRV,MCT
SNN,AGP
MIA,LIM
CTU,ZYI
SZG,VIE
NRT,HEL
CGN,ACE
ITM,FKS
MAH,MAD
AUH,MNL
GXF,AUH
TPS,GOA
MZG,KNH
KGL,BJM
SIN,FRA
MAD,MIA
MCO,PHL
NQN,AEP
AUA,CCS
ALC,BFS
SPS,DFW
SEA,MDW
MCG,ANI
BHX,LPA
OKA,KIX
CPH,WAW
FLN,GRU
SCL,GRU
TSR,BVA
ATL,TUS
KRT,AUH
MCT,SKT
KKC,BKK
PNR,BZV
STM,BEL
URC,YCU
ORD,PVG
BRU,DKR
TGU,MIA
MSP,ALB
ARN,LIS
BJV,LGW
AUH,MXP
JFK,CCS
DMM,SKT
LUN,NLA
STM,MAO
BDB,BNE
PEK,PVG
PVG,TSA
FRU,SVX
PTY,SJO
LGW,DBV
SAV,DFW
LAX,STL
SIN,CMB
PRG,ICN
PVG,JMU
MSP,RDU
CJU,CJJ
TYR,IAH
DTM,GRO
NRT,OKA
CLE,PUJ
LIN,OTP
VRN,TXL
DXB,PEW
TAO,NRT
KKA,OME
HER,TLL
