source_airport,destination_airport
ICN,TAO
BLQ,RYG
SIN,LGK
CLT,SYR
SDJ,PVG
KSH,THR
SHJ,DMM
VER,CUN
GLA,DUB
YYZ,SJU
LXA,LZY
PEK,YNJ
FAR,DFW
LPL,AMS
KMG,JHG
YYT,YYR
ZRH,PRN
DFW,CRW
NAY,SHA
CCS,BRM
LIS,OSL
GRU,MVD
EWR,HNL
KGD,MSQ
DUS,FAO
FRU,DME
OBY,CNP
LPA,MAD
SDF,LGA
BWI,CLT
SHA,JIU
LAX,BNE
HAN,SIN
TXL,DBV
STN,PMI
TSN,CTU
CNS,OOL
KEF,ALC
YVR,YZZ
BOM,KUL
SXF,CPH
CKG,JHG
SGN,FUK
STT,SXM
VAS,SAW
HAN,CXR
KUL,FRA
LRM,MAD
BEG,ATH
MAH,LGW
TBS,KBP
IST,VKO
BKK,TAS
KWI,MHD
FLR,CTA
ANU,BGI
DFW,SLC
AYT,HAJ
NGO,KMI
BDO,SUB
ILM,LGA
PHL,SXM
MEX,MIA
EMA,FUE
HAK,KWL
LIS,BRU
TNA,FOC
KUL,SIN
ATL,ROA
AMS,CWL
DEN,MTJ
SYX,KWL
HAK,KMG
LNZ,VIE
PDG,BTH
BGW,BAH
BJM,KGL
ATL,DAY
BSB,GIG
PTY,IAH
ATL,SJU
LIS,PIX
PHL,LAS
ANC,ILI
SXF,BGO
KWE,SZX
SIN,PKU
FTE,EZE
UNK,SKK
JFK,LHR
MDW,EWR
BKK,THS
ADD,MBA
TGU,GUA
CTU,XNN
LGW,CTA
JFK,PTY
CPH,FRA
PRG,STN
SEA,ONT
GRQ,PMI
MUC,DUS
AGU,MEX
BWI,ATL
CRL,WAW
YVR,YLW
YYB,YSB
CAI,TIF
MGM,CLT
CUN,LAX
EWR,HAM
RSH,BET
MEM,LAS
ATL,JAN
CKG,YTY
ARN,KRN
JNB,LVI
SFO,DTW
AMS,KGS
OTP,CIA
OSD,UME
SIN,PVG
ORY,LIG
YEV,ZFM
GVA,CDG
GRU,IOS
BMI,DEN
TSN,DLC
JFK,LAS
BRI,BUD
DMM,AMS
GCI,STN
FRA,DXB
SYD,CGK
TYN,TNA
DFW,BNE
HNL,GUM
HAM,BCN
PMV,GND
BTI,FYU
JED,SLL
DAL,IAH
BGO,FCO
ULP,WNR
TIP,TUN
ATH,MAN
TPE,HFE
DTW,BNA
BNA,ATL
LIS,FAO
KWE,FOC
TFS,HAM
MDG,PEK
MSQ,HEL
YZF,YRT
SEA,LHR
FRA,IBZ
DXB,DUB
IAH,MBJ
TSN,SIN
CUN,CDG
LUO,LAD
DMM,BEY
CAG,LIN
YQB,YZV
CAI,BOM
STN,SSH
MCO,PHX
EVN,CDG
EWR,STR
LGW,BOD
ELP,IAH
DLC,NRT
MNL,SYD
LYA,KMG
PHL,MAN
YXY,YZF
JHB,KBR
EZE,GIG
SGN,TBB
PLU,POJ
CGK,SUB
ARN,CPH
DUS,DUB
CAI,EBL
JJN,CSX
JNU,KTN
ABJ,ROB
MUC,SJJ
BDU,OSL
SFO,BOS
CWB,GPB
PSR,BVA
MDW,ATL
LGW,PEK
DBV,RJK
MEX,PHX
BOM,BHJ
JIU,XMN
BVA,POZ
STR,BEG
PTY,SDQ
BGR,DCA
EAS,BCN
MCO,SAL
IXD,BOM
KRK,BLQ
SCZ,HIR
PUY,ZAD
CPH,BKK
ESU,ORY
KMG,XNN
BKK,MCT
SKG,IST
TXL,FCO
LAX,TUS
CVG,JFK
JFK,GRU
WAW,AGP
MAN,MXP
ARN,IST
ADL,AKL
MSO,LAS
KRF,GEV
SYD,SUV
ORD,JFK
SKG,TXL
MED,KWI
TUL,DFW
MCO,GNV
ICN,KUL
AUA,PTY
EBB,KGL
GLA,EXT
ORD,CMH
BRU,ZTH
DEL,IXR
AUS,IAD
HND,KMI
BIS,AZA
TRD,TLL
YXT,YVR
DZA,RUN
FEZ,BVA
FRA,BRU
LHR,BRU
LHR,GOT
DAC,HKG
SDR,BCN
YGK,YYZ
JFK,DCA
MZT,MEX
FLN,CCM
CXJ,CGH
BLJ,ALG
CCU,AMD
SYD,LAX
TUL,ORD
JMU,TAO
BHJ,BOM
RKV,GOH
KWL,XMN
HAM,FCO
MCO,MEX
ROB,ACC
LGP,MNL
ALC,BRU
SZG,HER
SIN,MEL
DEL,IDR
INC,PVG
WUA,HET
CGN,DUB
BWI,BDL
MEX,HAV
EWR,ZRH
PTY,REC
BAH,CAI
STR,SJJ
MAN,CFU
MAD,RAK
DEL,CMB
FCO,TUN
DTW,BWI
GIG,MIA
DYU,AER
CRL,RHO
PEK,ISB
PAP,PTY
AMM,ORD
GEA,KNQ
SAL,MAD
JFK,ATL
LHR,NCL
DUS,SPC
TSA,GMP
PUJ,YYZ
POA,PFB
MEL,WLG
HAK,HGH
LIS,EIN
CLL,DFW
IAD,BOS
JSH,PVK
LHW,TSN
KWE,PVG
RAR,LAX
UKK,KGF
KMG,LZH
PRG,CPH
DJE,TIP
CGH,RAO
CDG,AGP
GVA,CMN
JOI,POA
SJW,CAN
ATH,JSI
ATL,CMH
NRT,BKI
JED,CAI
ORD,JAX
SDV,ETH
CRL,PGF
CTS,HKD
MIA,BSB
SAW,ECN
SLW,MEX
KUL,BKK
JFK,BOG
DYU,FRA
SEA,SJC
FRA,DFW
HGH,SYX
BIO,ORY
NRT,YVR
TNO,SJO
TRV,BAH
TPA,ALB
MAD,LEI
JJN,HSN
HKG,DMK
SRG,SIN
DIR,JIJ
LHR,MEX
MAD,HAV
NUE,LPA
WUH,PVG
FRA,MCT
TPE,HAN
NNG,KHH
CDG,ALG
HRE,JNB
PRG,CDG
ZRH,CGN
SCL,ANF
HKG,CTS
SVQ,ORY
AMD,BOM
NKM,HNA
GOT,MUC
UTH,BKK
MSP,MKE
CDG,FLR
DLM,LBA
EVN,LED
BKK,SVO
CGO,CKG
SAT,HRL
DAL,TUL
HEL,SVL
PTP,MIA
GVA,ARN
BEY,ADD
PEK,MDG
MSP,STL
MIA,IAH
SVX,MRV
SJD,DEN
VLC,MAD
CGQ,YNT
HAM,NAP
IAH,CDG
TCZ,LJG
BLR,MAA
MRS,VCE
TRN,BRU
XMN,HFE
BOM,BLR
LTN,GDN
CLT,ORD
RSW,ILG
HAN,HND
CTU,TNA
RUH,TIF
SEA,PHX
TXL,PRG
BKK,MNL
MAA,KUL
MJT,MUC
JFK,CHS
XMN,HFE
SJW,INC
MUC,CDG
LCE,RTB
GRO,BDS
CSX,NNG
FOR,SSA
JZH,CKG
JER,AMS
CDG,MLA
TAS,NVI
XMN,HFE
SHA,CTU
TSF,EIN
LBV,ADD
BTU,KCH
ICN,CGO
ZAD,FDH
LAX,MFR
SGN,ALA
LAX,STS
NTE,FSC
LAX,SEA
SUF,CRL
KBP,AMS
DFW,LIR
CMB,BLR
CTU,FOC
FWA,ORD
ATL,DEN
JFK,VKO
YYZ,YMM
VIE,YYZ
CKG,DSN
SSH,MAN
CSX,KWE
EDI,DUB
BAV,CIF
YYZ,YUL
EBB,IST
ANC,LAX
BOM,ADD
DNK,DME
LHR,IBZ
BOD,BRU
SHA,WUS
CCC,YYZ
GRI,DFW
SVG,GOT
PUJ,FLL
LED,DME
BWN,KUL
HAN,DMK
PEK,YBP
SHJ,KTM
LHR,JNB
SIP,KBP
OME,KKA
TFS,DUS
UTH,BKK
JJN,SZX
GYD,OMS
TSE,ALA
ATH,EFL
PMI,DUS
XIY,ICN
SAW,MUC
DUB,SXF
TPA,MHT
PMI,LTN
GVA,LTN
DEN,IND
MEB,FLS
IAD,DXB
ACE,LBA
MEH,BVG
AKL,CHC
YWK,YYR
LIN,CDG
SZX,JJN
JAX,DFW
RHO,ATH
JED,ALG
XIY,YBP
VIE,BRN
NAY,WNZ
MJT,ATH
YYZ,DTW
COK,KUL
KBL,DEL
SFO,YVR
KUL,BTJ
SFO,AMS
RIC,BOS
SFB,LCK
EYK,OVS
TYN,KHN
ISB,MXP
ABJ,LFW
CDG,SGN
HAN,VCL
CLT,MDW
BOM,CAI
DXB,KBL
FUG,PEK
CDG,CMN
COK,MCT
BHD,EMA
CTU,PEK
MSP,SLC
BWI,ALB
JIB,NBO
FIH,JNB
MAN,MJV
SPU,LGW
FRA,PRG
YBL,ZEL
COS,SEA
HER,NTE
BCD,MNL
LKN,BOO
CCJ,MCT
DAL,ATL
TFS,PAD
CLT,YOW
LAX,CDG
LTN,MPL
CSX,TYN
COO,BZV
CSX,ICN
OTH,PDX
BSB,GIG
TXL,SCN
VIE,IKA
ORY,QSF
CSX,TPE
BNE,POM
SIN,XMN
BCN,LED
OLB,NUE
SHE,JMU
SMF,IAH
NDR,BRU
MUC,LEJ
XIY,TPE
BXU,MNL
GSE,BGY
ORD,MEX
ABV,PHC
ATL,BNA
TRI,ATL
ORD,MTY
FCO,AGP
BSB,MCZ
LGB,SMF
MAM,MEX
ADD,HRE
OSL,CHQ
YLW,YEG
HEL,VIE
IAD,SHD
USM,BKK
DEL,AMD
STN,VLC
ESB,DUS
ATL,DTW
BOG,AXM
IST,ZRH
VLN,PMV
BES,SOU
TAS,URC
LAX,MCO
SVO,URC
TPE,AKJ
SJP,RAO
GVA,SEN
BOO,MJF
YDQ,YYE
GSO,MIA
BHM,ATL
BMA,AAR
FCO,JFK
YQM,YYZ
SJJ,ZAG
AGP,BRU
EMA,PFO
KBP,SVO
HND,OIT
CDG,HEL
IST,PEK
FIH,BRU
AUH,RYK
CAN,BFJ
KHN,SZX
BOM,TRV
KTW,WAW
MCI,LAS
OAK,PDX
PDX,TUS
YYC,LAS
GYE,SCY
WAW,DUB
FOR,RAI
CAG,CGN
CAG,GOA
ORF,IAD
BRU,FCO
FLL,DFW
SPN,NGO
JNB,KGL
RMQ,NGB
DCA,PIT
LHR,ZRH
IEV,BGY
PED,DME
XIY,KWL
CAL,GLA
SHJ,EBL
FMO,AYT
ROV,SHJ
SZX,CGO
AOI,NRN
XMH,RGI
PVG,TAO
MLE,IST
EZE,JFK
VIE,CLJ
NUE,BCN
