source_airport,destination_airport
SDF,DCA
RIY,CAI
TSN,CTU
CSX,SHA
FOC,XIY
DLM,CWL
NGO,SHE
MIA,ASU
VFA,JNB
AUH,ISB
LGW,RHO
LBA,KGS
DIG,KMG
NOJ,SVX
ICN,XMN
FCO,SKG
KWL,XMN
DXB,KBP
MPM,LIS
NYO,TSF
ALG,GHA
MCI,MEM
TLS,AMS
DSK,PZH
BTR,ATL
PLX,ALA
YGJ,UKB
UPG,DPS
DEL,EWR
CGQ,WUH
AGP,ZRH
OVS,TJM
DUB,FRA
DUS,ATL
MUC,ISU
CTU,PVG
ILM,ATL
SJD,ORD
EIS,NEV
PMI,BHX
BLA,CCS
NKG,FOC
HKT,BKK
SSA,BPS
KVG,RAB
CKG,SZX
SKD,LED
KUL,SDK
MXP,SSH
DME,PED
CAN,XIY
ORD,PVG
LIS,BLQ
BUD,CPH
KTW,CGN
TNA,SHE
VIE,MLA
SSA,REC
KUL,KTM
LWO,TLV
TYN,KWL
HAM,ADB
FLN,CGH
SEA,CDG
DXB,SKP
ADB,EZS
IST,LUX
VIE,CTA
KHI,LYP
CAI,AHB
TIJ,CUL
LGW,NOC
DUB,LPA
LHR,ABZ
DAC,HKG
RHO,LED
SIN,HAN
MSP,SAN
MTV,SLH
IFO,KBP
IND,LAX
YYT,YYR
HND,OBO
IAD,YTZ
HAN,FRA
ORY,TLS
JED,TUN
KMG,CGO
ATL,ATW
BUF,MCO
MRS,QSF
DUS,NQY
BIS,SFB
MIA,LIR
SVO,HAN
LHR,ZRH
BZV,PNR
NBO,FBM
MIA,MVD
SUB,SIN
HFE,ICN
TRS,LIN
CKG,URC
MUC,AYT
LMP,CTA
CYZ,MNL
CGN,FDH
SEA,JFK
WUH,SHE
CMN,OZZ
RJH,DAC
CLT,JAX
NRT,LAX
CUN,MTY
FRA,SGN
VPY,MPM
SHA,JDZ
CAI,EBL
PNZ,REC
SJU,EIS
LHR,IAD
DCA,LAS
AYT,HAM
GOU,NDJ
EAE,VLI
GBE,JNB
SHE,PUS
FAR,DEN
SFO,MUC
NGO,IBR
BRS,BRU
SYD,CFS
SGN,PQC
FUK,PUS
CLT,SJD
SMK,UNK
GRU,JDO
CDG,IAD
PLW,CGK
NAS,ELH
SEA,ONT
COK,MAA
TFS,OVD
KTA,PER
IGU,GIG
FLN,CWB
BWK,ZAG
LAX,SJC
YUX,YFB
BMA,KLR
PBM,GEO
JFK,MXP
OPO,LHR
LKO,DEL
BHX,FUE
NAP,FMM
ATL,XNA
SJC,PDX
NCE,CFE
FEZ,ORY
KCH,MYY
IAH,SLC
YGJ,CTS
FUK,NGO
LGA,YYZ
AMD,DEL
KWE,TYN
MAA,KUL
LIS,LHR
PHX,MEX
DUS,AYT
SXF,TFS
CDG,ORD
GLA,BRR
OAK,GDL
BRS,CPH
CAI,ALG
OGS,ALB
RDU,ORD
DEN,SLC
BOG,PEI
CKG,FOC
MIA,IAH
ICN,IST
DLC,HKG
KGS,KUN
SVO,KJA
FRU,OVB
VIE,BKK
ORK,BRU
SPU,FRA
NRT,SIN
TPE,NKG
MUC,SPU
XNA,DEN
YVR,YCD
GCM,YYZ
NAP,STN
LYS,FRA
TCB,FLL
STL,ATL
LHR,BLQ
ENU,ADD
AMS,PRG
XMN,NKG
PRG,FCO
LAX,SJO
VLC,MAD
DMK,NGB
LGA,MDW
AUA,CCS
DKR,BJL
BCN,FRA
ACE,BIO
ORD,RST
ANC,KSM
PEK,GYS
ORD,BWI
HGH,XMN
SZG,DUS
YKF,ORD
FCO,CDG
RZR,MHD
DEL,SIN
AZD,THR
CGK,LOP
NGO,MNL
MEX,CUN
CAN,WXN
YUL,LYS
MUC,ODS
DFW,MEM
HAK,CGO
SUB,DPS
BJV,LTN
LAS,ALB
CHS,ATL
CSX,PEK
SVO,MLE
SVQ,BCN
HOU,SAN
BTU,BKI
CUL,GDL
EBL,ESB
BNE,CNS
NTL,OOL
PHX,RDU
BWI,DAY
BVC,SID
NYU,MDL
SYD,BHQ
LAS,ATL
BOM,KUL
DUB,YYZ
LYS,TUN
HNL,LIH
REL,BRC
NAS,SML
MAD,LIS
CUN,AMS
LUQ,AEP
EWR,OKC
DXB,DEL
INC,PEK
MUA,HIR
ZRH,CAI
YAB,YFB
DEN,STL
GGT,GHB
VCP,DOU
BJV,EMA
SGN,HPH
YZF,YWJ
HMA,LBD
OTZ,ORV
RIX,TRD
DUS,LAX
YUL,EWR
FEG,LED
NNG,PVG
MUC,MAD
BNE,SYD
IST,CAI
AES,TRD
ODO,IKT
ARH,USK
ATL,SLC
TNA,TGO
CTU,KMG
BSL,DUB
VBY,ARN
REC,VCP
AGP,DUS
BNE,MOV
MAD,TUN
IFN,MHD
PDG,CGK
KTM,CAN
LIS,IST
PHL,PUJ
OSS,URC
NVT,CGH
PEK,NKG
SEA,RDM
LBV,FIH
GOT,LYS
GLA,LTN
NYO,AHO
UUD,DME
BNN,BGO
SIN,HKG
ACC,DKR
HKG,NRT
HKG,NRT
KWI,BAH
NRT,SHE
KWL,PVG
DTW,MEX
SOF,MAD
DCA,AGS
PAP,CAP
MDW,BWI
HTA,DME
WUH,SHA
CRL,EDI
ADU,THR
EBB,MGQ
AEP,RGL
KMG,KHH
DTW,AMS
CTA,BCN
AHO,GRO
PUS,TAO
BOG,SMR
IAD,CLT
FLL,SJO
IMF,CCU
FRA,OTP
SDF,ORD
MNL,TPE
BIA,LGW
HRB,TNA
KGS,BRU
MSP,STL
ORY,DJE
SYX,HKG
SHE,CKG
DEN,EWR
STI,JFK
YIN,CTU
FPO,RIC
CCS,FNC
KDH,KBL
HFE,DLC
SVX,KBP
RDU,ATL
LPQ,CNX
SVX,LED
TPS,BLQ
MIA,GIG
LHE,MXP
YTZ,YQG
CTU,KWL
TLV,GVA
KHN,KHH
BOH,GRO
LPL,FAO
CKG,TSN
CLY,NCE
MZG,KHH
GRU,AGT
CDG,JFK
KTM,DEL
BOM,CTU
SLL,SHJ
FEZ,NTE
PHX,ONT
JNB,CPT
LZO,PVG
DLM,AMS
CDG,LED
PSA,BRI
CKG,YTY
ATL,ROA
SHJ,RUH
PUJ,LED
FRA,CMB
YNZ,PEK
TNA,KMG
TLS,AJA
GVA,MUC
ATL,TLH
PEK,LAX
RHO,AMS
YGT,YIO
NGB,SYX
MNL,HND
PTY,SXM
BSB,GRU
ZRH,LIS
DAD,HKG
GCI,STN
NJC,SVX
LPA,LIS
HKT,PEK
JMU,PEK
NJF,BEY
GMP,KWJ
OVB,ALA
DLM,HAJ
MAN,LPA
PEK,YBP
DWC,KRT
BSL,BRU
OTP,NCE
FEN,NAT
ATL,IAD
IST,AUH
LIN,PMO
AUS,CUN
DMK,CEI
EDI,STN
PTP,SBH
LGW,ANU
DEL,HKG
CNF,SLZ
BOG,LET
JER,LPL
RYG,SKG
PNS,ATL
BKS,CGK
MAD,LIS
AMS,KRS
ORD,PSP
TSE,TAS
OKC,ORD
GDL,CUL
KWI,AWZ
KUL,KIX
TXL,LHR
MAN,CDG
OOL,KIX
ATL,LIT
RHO,SVO
CKG,XNN
COK,CMB
PLS,CAP
CDG,TLS
GRX,PMI
DFW,LHR
TSN,KWL
TUN,MIR
XMN,CKG
RIA,POA
AMM,IST
ORY,CWL
HBE,MED
SZG,TXL
SYD,HBA
IAH,ATL
VIE,DEL
NTE,BCN
SFO,SJD
TPA,FNT
GOT,FRA
BVA,TRS
SMI,RHO
SPU,VIE
AGA,MRS
SNN,AGP
MIR,LYS
PEW,RUH
EBB,BRU
AEP,PRA
NDG,PEK
NCL,IOM
YQU,YEG
DBV,FRA
SFO,LMT
SCL,SYD
XIL,PEK
DUB,FRA
MED,IST
TRF,VNO
SVO,CAI
MAD,DKR
CDG,BKK
MAD,PRG
NAS,GCM
MLI,AZA
GPT,ATL
BUS,TBS
LPB,POI
HGH,CTU
AMS,IAH
NTE,SXB
LIS,CCS
EIN,RIX
LGW,AMS
CDG,CVG
LAE,HKN
PSO,BOG
NBO,JED
LHE,BKK
LGA,CHO
FSC,NCE
SUV,FUN
RMF,DUS
SVQ,LEI
MHD,IFN
PNR,LBV
CDG,HAM
TIP,TOB
XIY,DLC
FCO,BIO
CAN,HGH
FRA,BEG
NRT,KIX
LIR,JFK
RSW,DCA
ICN,OKA
CDG,GYD
MBJ,LGW
SIN,CEB
CJU,HIN
TAO,DLC
ATL,IND
NOS,RUN
RAK,PSA
CYP,MNL
MIA,FPO
SOU,BES
DMM,BAH
CSX,KMG
HAM,AMS
YYZ,PEK
CMB,MLE
SXR,IXJ
DLC,HGH
BOO,SKN
WLG,DUD
ADD,JED
LAS,HOU
NAS,KIN
PVG,AMS
NGO,GUM
PVG,HIJ
MUN,PMV
BVB,MAO
CTA,MAN
HKG,HKT
MCO,EYW
WUA,PEK
HGH,TYN
TNA,WUH
LBA,ZTH
THR,RAS
BIA,MRS
MIA,CNF
ORD,SNA
SPU,DTM
PRG,RIX
WAW,MUC
FSP,YUL
GYS,SZX
BEG,FCO
IAD,ATL
GVA,MLA
XMN,JDZ
GVA,DJE
CAH,SGN
NRT,LAX
AMS,NTE
SJW,URC
NCE,DUS
LGA,LEX
TLL,RYG
GSO,EWR
JNG,CTU
IBZ,CIA
LBD,SVX
MSY,JFK
IAH,LIR
AXD,ATH
SHE,NKG
CTU,XIY
FMM,HAM
MCZ,SSA
DRW,DPS
AUH,AMS
AUH,DMM
CDG,SXM
NRT,DPS
BOS,LHR
NKG,CGQ
COU,ORD
OSL,SXF
ESB,MUC
HKT,SYD
ABQ,CNM
SGN,NRT
ATL,YYZ
PEN,KBR
SVQ,NTE
AUS,SMF
OME,WAA
SCW,VKT
NRT,BKK
PMI,SVQ
PAD,FUE
MCO,YQM
FLR,MUC
TPS,GRO
BAH,AUH
LCA,ARN
RIX,LCA
MSY,ATL
AMS,BRS
PVG,CTU
CDG,ATH
FMN,ALS
BKK,BOM
BKK,KMG
PVR,MTY
CBR,BNE
MCO,FLL
BKK,MEL
CPH,BLL
HOU,CLT
KUL,DXB
HKG,CGK
GLA,PFO
IST,GVA
HAN,TPE
BPN,UPG
TAO,SHA
VPE,NOV
MAD,VLC
MAA,BAH
CGO,DSN
TUS,MDW
IND,LAS
LED,PEK
TZX,SAW
AUH,JFK
GND,UVF
KWL,HGH
AJU,GRU
MSN,ORD
PDX,DEN
CLE,LAS
STR,ZRH
IBR,CTS
MKY,SYD
KWE,XIY
CPH,BKK
THL,HEH
CMW,HAV
PUJ,CCS
RIX,VKO
FRA,ACC
BAH,IKA
LTN,BOJ
AYT,NUE
SDD,VPE
MFM,NRT
OTP,OMR
DBV,DUS
CGN,FNC
MUC,BCN
CBB,VVI
CSX,KWE
TGG,SIN
PEK,NKG
POA,SDU
VIE,ACH
ORD,YUL
DXB,XSB
BSL,LPA
FUE,NTE
EIN,DUB
AZS,JFK
MAN,KEF
IAD,BOS
CAK,ATL
VCP,BSB
VKO,KSN
AYT,BSL
PUJ,JFK
CJU,WNZ
NRT,HKG
LHE,BHV
DMK,URT
STN,RDZ
SVO,DOK
HAV,LIM
EIN,IBZ
PTP,MIA
CAN,HET
HKG,BOM
PUS,NKG
XIY,TAO
MAN,TFS
MCO,BNA
XMN,AMS
XMN,JUZ
CLE,MIA
JJN,PEK
MCT,ZRH
VCE,VKO
PMI,BRU
TXL,ARN
OME,ELI
BLA,VLN
TPE,BKK
DEB,EIN
LAD,DXB
CGK,SIN
HEL,RVN
GRU,CNF
CSX,HFE
HKG,KOJ
MDZ,BRC
EWR,BRU
WUH,SHA
FRA,MBA
BUF,ATL
DWC,KUF
BWI,SDF
PRG,TLV
DXB,DMM
RDU,LHR
CDG,CLT
HNL,JHM
DEN,LBB
SIN,SUB
IAD,SHD
ATL,VLD
PHL,ORF
HGH,KMG
IKA,BKK
YYZ,CVG
KZN,UFA
PNQ,BLR
CTU,SYX
MNL,HAN
DEN,MSP
LBA,ALC
TLV,TBS
ORD,ABQ
JNB,TNR
MAO,BEL
AGP,HAM
SCW,SVO
PIA,DEN
RIX,VCE
KIN,LGW
LGW,SSH
BTT,AKP
MID,MIA
DSM,EWR
EDO,SAW
STN,BDS
ALG,PEK
SSA,FOR
THR,KSH
SHE,TAO
ATL,SNA
IBZ,STR
CAN,DAX
NGO,TSN
DIB,GAU
LBV,BZV
FRU,DME
HGH,TAO
FRA,DTW
BRU,PMI
DRO,DEN
ORD,MUC
OLB,VIE
GMP,PUS
CSX,HAK
CHC,SYD
JED,MAN
PVG,HKT
MAH,EMA
EWR,ORY
CLT,AVP
DTW,STL
TIJ,CUL
DME,YKS
BHX,NCE
LBU,KUL
PKU,SIN
JFK,MSY
OKA,HIJ
MKE,PHL
CUN,LGW
BTH,SRG
SHJ,KHI
ICN,FRA
KUF,DWC
LIS,PHL
BCN,XRY
NRT,CDG
ZRH,SPU
LTN,GDN
JPA,VCP
ORD,SDF
ZRH,FNC
GYA,TDD
FRA,KIV
BSL,MPL
DMK,HDY
STN,LIG
TGH,VLI
IAD,JED
YVR,YPR
TGO,TNA
LPB,CIJ
BIA,BRU
HYN,CAN
ACE,SDR
LVI,HRE
DYU,LED
OBY,CNP
CUN,ATL
IST,BJV
JFK,HEL
TOS,KKN
MNL,CRM
VRN,DUB
JFK,NAS
ATL,MSP
PBI,DFW
YYZ,GRU
UVF,GND
DLC,YNJ
BOD,BLQ
GUM,TPE
GIG,BEL
TAO,CTU
PMY,AEP
CVG,ATL
COR,SLA
FRA,KGS
HAV,YYZ
TSA,HND
CJU,PEK
PHL,TPA
STN,PRG
YZF,YCB
OAK,PHX
TSN,SHE
HKG,SFO
BAH,DEL
CPH,FRA
MEX,LIM
PRG,AYT
SAN,LAX
ATL,PHL
SLC,VEL
GRB,ATL
FCO,HAM
JFK,BOG
CZX,NAY
AMS,FRA
CEB,KLO
ATH,MXP
KRK,BLQ
YQR,ORD
CDG,NBO
SDJ,ITM
HGH,SJW
CGO,TAO
SFO,PVG
CCS,MIA
ACE,EMA
BFS,MLA
ROC,JFK
NAY,WUA
HND,SHA
NNG,PNH
FOC,KIX
SFO,AMS
DOK,KBP
LHE,JED
TYS,DTW
MAN,HER
CLT,ABE
ATL,FNT
MAN,CTA
JUB,CAI
DME,DNK
WAW,BVA
YUL,LGA
MWX,PEK
AGP,LHR
PMO,FLR
VVO,PKC
BDO,SIN
CHA,ATL
LPL,GDN
TIJ,NRT
XMN,CSX
CTA,BSL
MSP,YEG
DXB,MAD
GRU,IAD
SHE,WUH
BRS,ALC
MTY,MEX
MCO,IND
KIX,PEK
GRO,LTN
IST,CMN
LYS,BLJ
CAN,YVR
DFW,SPI
NRT,SIN
CGK,ICN
BCN,LCG
KWI,BOM
ADB,AYT
RSW,ORD
DUS,DUB
PHX,DFW
ICN,DXB
BZV,JNB
OVB,FRU
ADD,NIM
KMI,ICN
YYZ,STL
HND,HKG
HNS,JNU
NWI,ABZ
JFK,YYC
JFK,PLS
CGN,OLB
BTS,TPS
NRT,MYJ
SVO,PEK
PHL,SJU
YYZ,FLL
YWG,YYQ
BOI,LAS
KHH,CGO
SHH,OME
NLT,URC
PRN,IST
IST,HKG
AMS,AUH
GRU,CGB
DFW,SCL
EZE,SCL
MFR,LAX
MBJ,MCO
AUH,SIN
NAP,EIN
OKC,HOU
SCL,EZE
MSP,GFK
CUR,POS
ORD,DLH
TAO,CTU
PVG,MEL
BKK,IXB
LHR,NCL
ELS,PLZ
WRE,WLG
THR,AFZ
GYD,KBP
MAD,LIN
RIC,CLT
TRF,RIX
CCS,SJU
BOC,SJO
CDG,ATL
BCN,TNG
PHL,CVG
GRU,REC
ATL,IAD
HER,MAN
SNA,ORD
FKB,ZAD
FCO,AGP
ATH,ORY
BLR,MAA
CPH,PEK
MCO,GNV
PIE,PIA
NKC,LPA
ZRH,SOF
PEK,WNZ
PMI,EIN
PRG,GYD
CKG,ICN
DTW,DFW
IBZ,MAD
DTW,ALB
CDG,VCE
DEN,DTW
LJG,CGO
LGW,SZG
XMN,CGO
LAX,DEN
ASB,DXB
INC,KWE
OGG,SFO
BOM,LKO
BNE,KTA
DXB,LHR
DAL,OKC
LHR,ARN
FRA,CLT
MED,SAW
ORY,SCU
ATL,CLT
PHX,PHL
BFL,LAX
CGH,CNF
DXB,KDH
YXC,YVR
FOC,HAK
PUS,TAO
DXB,OTP
YYZ,YUL
PVG,DYG
EVV,DFW
HOR,CVU
SAW,BGY
PHF,PHL
RDU,MDW
SVG,WAW
GJT,PHX
BHX,IBZ
NSI,BRU
CKG,ICN
SIN,DXB
SAW,SHJ
DMK,HGH
MOT,LAS
ARN,MAN
VNO,BCN
NGO,HKG
KUA,SIN
BOS,CUN
SMF,LAX
HAM,HER
PRG,DUB
BHD,SOU
FRA,STR
BSB,PVH
BDQ,DEL
ZAH,MHD
VDC,CNF
PHL,TLV
MAA,SIN
UVF,POS
GGT,MIA
ATL,JFK
SCL,CPO
GRZ,AYT
SAT,DEN
DME,MUC
BCN,SOF
FRA,MUC
LBA,PRG
MSY,DEN
PHL,FRA
LAX,BJX
CRL,LRH
EWR,BRU
MAD,MDE
AYT,DRS
MED,DMM
FCO,TIP
NAP,LIN
MAA,BOM
IND,PHL
CJU,HRB
LIT,ATL
DWC,KUF
SCO,DME
CDG,CAI
SGC,LBD
SCK,LAS
MHQ,HEL
SAN,BOS
TIA,BLQ
HAJ,DLM
RAK,MRS
LAX,CUN
KBR,SZB
MSP,ATL
PRG,TXL
TPE,HRB
MCO,BNA
WUH,NNG
ORY,ALG
ANC,HNL
KDU,ISB
CMB,DXB
ACC,LOS
BCN,IBZ
MXP,TIA
ORD,DUS
TIP,CAI
XUZ,HKG
PHL,VCE
ISB,URC
BIO,LPA
MTV,TOH
KHN,PEK
SKG,DUS
TLH,DFW
MIA,BWI
ATL,ORD
DYG,NKG
TUN,CMN
MCO,SYR
CKG,SIN
MXP,JFK
TXL,EWR
TSN,CKG
CCU,IXR
GCC,RKS
ZNE,PER
SZX,WNZ
NCE,EIN
UFA,DWC
ATL,DTW
KWI,SKT
TSJ,FUK
BSB,MAB
LYS,LIS
TIV,BEG
AER,IST
MIG,PEK
NKG,SHE
LGW,MRU
FOC,XUZ
ALG,DXB
PUS,MNL
KGF,DME
BRU,GOT
CLT,BUF
VLC,PRG
CJB,DEL
ARN,OSL
DJE,NUE
ICN,KIX
MNL,TAC
ATH,IOA
PSA,CTA
HEL,NRT
XMN,CSX
RUH,COK
EWR,YVR
HER,HAJ
IAD,CDG
PHX,FLG
IST,DYU
LAX,KOA
CKG,PVG
SAN,ORD
MSP,PHX
NTE,SVQ
TSE,AKX
DUB,DXB
GYD,RIX
RPR,VTZ
CPH,LUX
MKE,DFW
ORY,SXM
RIX,TLV
ORD,DFW
ATL,PWM
LHW,WUH
KUL,BKI
AJA,GVA
EWR,PHX
ALC,ORN
CSX,NGB
ZRH,MAD
DEL,JAI
PEK,VVO
LGW,BGO
SKG,MUC
CTS,TPE
TAO,TSN
YUL,ORD
ORD,ICN
STD,CCS
TLE,TNR
EWR,SYR
TGZ,MEX
TSN,KMG
IKT,SVO
LIN,FRA
BHO,DEL
ITM,SDJ
TYN,HFE
SLU,FDF
CKG,JHG
REC,FRA
LEJ,CFU
SKG,PFO
KMI,FUK
MCO,ATL
OGG,KOA
FAI,MLY
DFW,MKE
PHX,MIA
PEK,KOW
FAO,CGN
XIY,YZY
GUA,IAH
BOS,DEN
DEN,DFW
LGW,ANU
KBP,JFK
ZRH,TFS
BRE,CHQ
EWR,PHX
LED,UGC
ALG,AAE
ORY,BSK
DCA,HSV
DUS,TXL
ATL,DEN
HOG,YYZ
YNA,YZV
SIN,ZRH
PMI,ZQW
SAN,DFW
BOM,JED
JLR,DEL
SKG,SVO
TLV,ATH
PEK,DLC
LED,MSQ
ACE,LGW
CKY,DKR
ORD,SAV
TAO,CGO
SXR,IXL
MED,RUH
CVG,MSY
MCO,BOG
STX,SJU
PMI,BFS
TSN,CGO
WUX,TPE
AGP,BRE
CDG,MIA
HFE,ZUH
MXP,STR
CFC,JCB
HAM,FUE
MSY,LAS
AMS,SVO
BOM,HKG
SVO,MRS
SJC,NRT
MLU,DFW
SAL,IAH
OMA,STL
GVA,FLR
CTA,FCO
CMH,RNO
KMG,FOC
JNB,DXB
ICN,CTU
KSM,MOU
LHW,TNA
SAN,YYC
HKD,HND
AMS,NWI
PDX,MDW
KIX,OOL
BDL,DEN
TYN,SHE
UFA,LED
RIX,LGW
KLG,RSH
SAW,MLA
CGR,CWB
FCO,LIS
PER,AKL
BJM,KGL
MJZ,YKS
SLC,EWR
CAN,YBP
PHX,PVR
MAB,OIA
ADD,AMH
LUN,HRE
LAX,BNE
ARN,CDG
TAO,SHE
HND,KKJ
EVN,OVB
TRD,MQN
GBE,LUN
WUH,PVG
YVR,CUN
RTM,FCO
HAM,WAW
HHH,DCA
PVG,AUH
CIT,DME
COO,LFW
ORY,RBA
EGO,KZN
LAS,MCO
YYZ,LAS
BUR,JFK
MDQ,BHI
DTW,PIT
OMA,SLC
LMM,TIJ
KMG,WUH
HGH,SYX
JZH,CAN
AUA,BWI
YUL,BCN
STR,HAJ
DEN,MDT
CGO,SYX
STL,MDW
HND,HNL
FOC,ZUH
XIY,TNA
DMK,SUB
DMK,URT
LCY,AMS
FCO,VNO
WNZ,PEK
ATL,TUS
AMS,SXF
BRI,CTA
COK,AUH
ASR,SAW
NAS,HAV
ATH,LHR
YYC,YQG
MFE,DFW
YIC,PEK
CAY,ORY
WNZ,XIY
EIN,KRK
YYZ,FCO
LAX,LIH
ORY,DCM
RSW,BOS
NRT,CPH
PLU,RAO
DLM,IST
KSC,VIE
YXN,YRT
CGO,TPE
TGU,GUA
YEG,YOP
ACC,MLW
DIE,DZA
DAD,CXR
SHA,JNG
TNA,CKG
MYR,PBG
BNE,CNS
EYK,OVS
FCO,TLS
PHX,FLL
HAK,TYN
DFW,PNS
DLC,NRT
ICN,CGQ
SNO,DMK
AYT,ECN
EWR,HAM
AMS,MUC
CTU,BKK
SIN,HKT
GVA,HRG
SAL,YYZ
MAD,LCG
HKG,HGH
RUH,CAI
BOM,SXR
DUB,IBZ
BCN,YUL
TAS,OVB
DME,VOZ
MXP,FOR
LYC,AJR
HET,TSN
EWR,BOS
FCO,BEY
KHN,TYN
SVG,KTW
FNT,BWI
CAN,CTU
CMB,LHR
MEX,HMO
NBO,BZV
DAD,CTU
GDN,TRD
BEN,IST
STI,MIA
XNN,CKG
MAD,LPL
HFE,HKG
STT,JFK
CWB,CXJ
BZN,SEA
IAD,AMS
ORY,LHR
CGK,NRT
MAN,CIA
KUL,MAA
BPN,BEJ
VIE,LHR
MDW,RSW
BKK,CGK
ICN,HIJ
RIX,CDG
BLR,BOM
IRZ,TFF
EWR,CVG
LIN,LCY
RIX,KBP
PHL,BNA
PDX,DCA
PEK,XNN
GLA,TFS
SYD,PQQ
LAS,YYZ
DUB,TUF
FLR,BOD
UDI,GYN
TAH,IPA
YLL,YYC
LGW,TRF
BKK,KBV
ABZ,RIX
BHD,GLA
NGO,ICN
GEO,YYZ
BVE,AJA
XIY,NNG
CNF,VDC
JFK,ATL
CLO,MIA
MAD,LPA
PBI,IAH
SVX,KJA
DEN,MOT
TSE,KBP
ATL,PIA
DYU,SVX
BTV,SFB
UPG,PLW
CCJ,SHJ
DFW,ICN
BUD,AGP
DUS,MXP
BND,AZD
ORD,MCI
ABA,NSK
SEA,FCA
DSM,ATL
LCA,ATH
BHX,VCE
SAL,IAH
ARI,ANF
GOT,BMA
SJO,MEX
RUH,IST
MCI,DEN
PFQ,THR
SDN,SOG
PEK,JIU
BGW,IST
DME,AGP
KHN,PEK
KJA,LED
DME,DLM
EWR,FCO
DFW,ABI
SNE,SID
VDS,HFT
CGO,HRB
BRS,TFS
KRR,DME
ATL,BNA
NBO,DZA
RBA,MRS
DCA,ROC
ALC,DUB
BUD,ZRH
NNG,HAK
IAH,CLL
SEA,LHR
SPC,FRA
HUU,LIM
LED,MLA
DTW,CAK
HOM,ANC
BKK,SVX
DUD,WLG
TSN,SZX
SID,FRA
NGO,FRA
TAO,HRB
IPH,SIN
CSG,ATL
FOC,NKG
HAM,KGS
GRZ,MUC
ABJ,LFW
LEJ,AYT
PHL,BTV
TLV,ROV
BME,SYD
RZE,FCO
YJT,YDF
MUC,JFK
DME,ATH
ORY,MPL
AMS,KBP
TFS,ZQW
CAP,PAP
KRR,TLV
ALC,LGW
