source_airport,destination_airport
OPO,MAD
LAW,DFW
ARN,KEF
IAH,HOB
JDZ,PEK
LUN,SLI
PER,CBR
PTY,CNF
JFK,AUS
ADE,CAI
MDU,POM
HHN,PDV
FNA,MLW
KMG,JHG
SXM,PTP
JED,CGK
KUL,CAN
DME,VLC
ATL,LHR
ALS,FMN
KRK,MAD
DRW,CNS
CKG,XIC
YVR,PDX
VKO,MXP
INC,XUZ
HAJ,HER
BCN,BGO
DAL,STL
FSD,ORD
PHL,FRA
MDW,SMF
KIR,HHN
KTL,WIL
AYT,GRZ
ABL,OTZ
SSG,BSG
WUH,WNZ
FRA,LCY
OSL,TRD
IAH,CME
MFM,BKK
ICN,YNT
ORD,NRT
ATH,CDG
FRA,OSL
PHX,OMA
KWI,JFK
GSE,MRS
HEL,SVL
AMS,EXT
ATL,DUB
YYZ,LIM
MRS,TNG
LGA,DFW
MMX,BMA
GDL,ATL
NAS,PHL
HAK,CGO
MLA,TPS
PMI,SDR
KWE,HGH
ATH,PHL
PDX,RNO
DMM,KWI
TIA,BLQ
VCP,CGR
BWI,SFO
GAL,NUL
LTN,SSH
TFS,DUS
EWR,FLL
YQF,YMM
YUL,YYZ
IEV,BCN
DXB,DAC
NRT,JFK
TXL,DBV
BGY,RYG
HER,SXF
DLC,TSN
PQQ,SYD
INC,TNA
SAW,EZS
ELM,SFB
RAB,KVG
HER,SKG
LPA,SVQ
SFO,MKE
ICN,SFO
TYF,HFS
MIA,ATL
RIX,FCO
MEX,BOG
PSA,CGN
EVN,TJM
RBY,GAL
URC,HTN
TPE,URC
HAM,STR
HER,ZRH
ISA,BNE
NGO,PVG
YNT,TNA
HNL,KOA
AXT,CTS
KBP,LHR
TFS,LIL
ONT,SFO
MSP,GFK
SYD,SUV
HGH,RMQ
PEK,NNG
ORD,HPN
BUD,BEG
TFS,FRA
PHX,GEG
MXP,ATH
SJU,MCO
CMN,BJL
FSM,ATL
PRN,SAW
OVB,SVX
VNO,BRU
MLU,DFW
HRI,CMB
JED,CMB
HRB,YNT
JAX,FLL
KNG,AMQ
MCO,PIT
LIM,HUU
BRU,MAD
YYZ,MDT
IST,BUD
ROR,ICN
OVB,OSS
EWR,ALB
SLC,PHL
HGH,KWE
MAA,IXM
URC,TSN
VVO,FNJ
JJN,CSX
NRN,BZR
RUH,ISB
BHX,IST
KKR,PPT
DME,DXB
LPL,DUB
ERI,PHL
ORN,MED
PEK,CDG
JFK,FLL
CHQ,MRS
ANU,MIA
LJU,BEG
LCG,MAD
YLW,SEA
ZUH,PVG
SGN,DAD
BAH,IKA
MRS,LYS
STN,ADB
KMG,CAN
FRA,ZAD
LHE,IST
ALG,MED
ORK,BHX
CGN,ZAG
GGT,GHB
SIN,SZX
KWL,SWA
SPU,WAW
XMN,YIH
SGC,SVX
ZRH,PRN
JNB,HDS
KUL,DAC
CPH,PEK
MCO,MDT
KBP,LED
FRA,ATL
KBP,LED
LUX,LHR
MHD,TBZ
BEL,BSB
GIG,FLN
PVG,SFO
SLC,ORD
SVX,LCA
DUB,DUS
MCO,ATL
PHX,ONT
CNS,SYD
SGN,PVG
AMS,ORK
LAS,MAN
TWB,CTL
ADD,JUB
XIY,GOQ
SHE,XMN
OVB,DYU
BVA,PSA
KLX,MUC
SHE,HGH
KUL,TAS
HKG,CDG
IXZ,DEL
KUT,TBS
BDB,BNE
GBE,MUB
BCN,SAW
TSF,LBA
PSC,SFO
PSA,TIA
LIH,LAX
ACE,BHX
CDG,NIM
LIS,LYS
DXB,NCE
PUS,GMP
AMS,BRS
TNA,WNZ
MOB,DFW
SHE,HGH
LGW,AGP
ERI,DTW
AMS,ALC
BLR,TRV
LAX,YEG
DEL,IXB
DJJ,NBX
KHH,HKG
HKG,DEL
SEA,LHR
ATL,HSV
BRU,ZTH
PMI,CPH
TUN,VCE
MHT,PHL
MSQ,TLV
DXB,ISB
ATL,DUS
FCO,SUF
CKG,ACX
ALC,OUL
CMN,JED
PEK,LHW
VAK,HPB
MEX,CUN
PEW,KHI
MXP,CGN
ITH,PHL
HAJ,FRA
SYX,WNZ
CAE,DFW
ETZ,MRS
BCN,LIN
CKY,DKR
KLV,SVO
HGH,CGQ
VRN,TIA
TTN,CLT
OUA,ABJ
DFW,QRO
HKG,TAO
HET,HLH
MAN,BJV
TGG,MYY
CUN,ATL
YYZ,YQG
SCQ,MAD
SYD,MCY
WAW,YYZ
XNA,ATL
PEW,AAN
MAN,UVF
KBR,SIN
HKG,PEK
FOR,GIG
PEK,MLE
RDU,ATL
DEN,CMH
FAO,BOH
FOC,HFE
HEL,LED
FTA,AWD
AHB,TUU
YIH,PEK
RSW,DFW
HAV,ORY
KRR,FEG
PVG,SFO
GRU,REC
TPE,CSX
AUH,BKK
YSM,YHY
CMH,YYZ
LAX,MDW
BKI,JHB
PMI,BHX
PEK,HFE
ADD,JRO
DEL,BOM
TBZ,IST
SGN,BMV
CKG,SJW
MAF,DAL
LJU,TIA
ATH,AUH
JTR,LGW
FNI,LPL
KWE,ACX
JOE,HEL
NBO,KIS
YYZ,TLV
MHQ,TKU
VTE,HAN
CGH,CLV
CAN,DEL
SAN,LAX
HRB,KHN
EFL,STN
MUC,CTA
TIP,SRX
AER,IST
TAS,OMS
BKK,CKG
ORY,LIS
NGB,TAO
VCE,LYS
PEK,GMP
CCJ,BOM
BOS,EWR
FUE,CGN
BKK,HKT
HAM,DXB
MNL,HNL
TUN,SFA
XMN,NKG
RJK,STR
BIO,BCN
SMI,SKG
VIE,MUC
OXB,CKY
PIT,JFK
ATL,MSP
CPH,RIX
SKP,NYO
DXB,SLL
VHC,MEG
SZX,HGH
XIY,SHE
BGO,SVG
TUS,MSP
MNL,DGT
BRE,AMS
BZV,JNB
YUY,YGW
CAN,WNZ
SMI,TXL
BND,ZBR
DEN,JFK
ATL,GDL
WAW,SOF
GKA,LAE
LBA,GRO
ICN,SGN
CUQ,IRG
SAW,OMS
AMM,RUH
IAH,SNA
LCY,ZRH
MEX,MIA
BON,AMS
BOS,SXM
LIS,MXP
CTU,TYN
TSN,WUH
DME,KUF
SOU,NCE
BOS,LHR
CGK,TJQ
PEK,ICN
STL,ATL
LAX,KOA
XIY,LHW
CKG,XIY
DFW,MAD
FIH,BRU
BNE,MEL
SKT,MCT
LOH,GYE
CCS,SOM
VRN,CDG
MTJ,DEN
CIF,PEK
BHX,GDN
ZYI,PEK
HAM,HER
JTR,ATH
PVG,DAX
PEK,NGB
MEM,ATL
FUK,SHE
IKA,DXB
VVO,PUS
TLL,TRD
LJG,NKG
CCS,STD
YWK,YZV
YKQ,YVO
DME,ALC
ATL,CAE
HAM,FCO
FCO,CPH
YYC,AMS
ZIH,IAH
CDG,IAD
KUN,CIY
ISB,KBL
VLC,LPA
TXL,FNC
ZRH,AMS
BCN,EDI
SNP,STG
AMS,LTN
PVD,PHL
SAN,LAX
YXS,YXT
LEI,STN
TAO,SHA
KMG,JHG
HRB,TAO
SHA,TNA
LED,KRR
CAI,FRA
IKT,YKS
CGB,BSB
CKG,SZX
CGH,FLN
WAW,FCO
AMS,KYA
TUS,ATL
SHJ,MCT
EWR,DFW
ATL,XNA
CHS,ATL
MSP,AMS
TPE,SYX
SSA,CPV
PVG,MEL
DAR,IST
HER,HAJ
PVH,CGB
MAN,BJV
YYZ,YVR
IAH,CDG
SOC,CGK
AWZ,TBZ
SYD,VLI
BPN,SRG
FAY,CLT
XIY,TAO
ATL,SLC
TYS,IAH
JHB,SZB
DAC,DEL
SAW,AMS
JNB,LHR
SJO,MEX
MNL,TPE
SEA,JFK
BLQ,CMN
SZX,YBP
NRT,HKG
CAN,HAN
NGO,HKG
SJU,ATL
DTW,SAV
MNL,OZC
CGO,LHW
KIX,PVG
MSP,LEX
TGU,MIA
IXZ,CCU
LHW,PEK
MUC,OTP
KHV,YKS
ATL,ABQ
CGN,LIS
MAN,HRG
TRZ,SIN
NNG,ZUH
BJR,LLI
FCO,BRU
SSA,AJU
MSQ,KRR
CUR,DUS
CLT,MYR
BLA,PZO
MHD,ZAH
TAO,SHE
ACK,EWB
CTA,CPH
CAN,NGB
CEB,USU
SGY,HNS
KIV,MXP
PHL,SCE
XIY,LJG
LGW,DBV
PRG,AYT
BRN,TXL
SGN,TBB
ZRH,PHL
OTP,BRU
CTA,NAP
ALG,BJA
AYT,CGN
LAX,ATL
YUL,YYZ
RYG,SXF
URC,YIN
LDH,PQQ
TPE,XIY
SWA,CGO
MEM,DEN
XIY,PUS
YUL,YVP
AQJ,IST
ALA,AUH
GRU,NVT
MPL,DUS
TFS,MAN
RUH,CDG
LUX,DBV
CTU,TYN
TFS,CGN
SFA,TIP
XBJ,MHD
NDJ,NGE
ACA,MEX
OKC,LAX
DYG,PEK
SIN,HGH
HKG,PVG
BHD,LHR
AYT,PAD
STN,TMP
MEX,CVM
GIG,AJU
CAN,TYN
FRA,TRN
EDI,LGW
MRS,FRA
LAS,ORD
FCO,ORN
SIN,LOP
GLA,ACE
ATL,LHR
EYW,RSW
YUL,LHR
MLA,CTA
ZUH,HAK
DFW,SJU
JFK,ARN
SIN,DXB
THE,VCP
CAK,PHL
VIE,BLQ
CKY,DKR
SFO,PVR
STN,LIS
TNA,SHE
PUJ,LIM
RHO,DUS
SXM,DOM
EWR,ORY
HEL,KEM
NRT,FCO
PUS,NRT
OLB,FRA
STL,CUN
ACE,BCN
DXB,CCJ
DEL,KHI
CAN,YTY
PIT,PHX
LGW,AGA
SVQ,LEI
ICN,PEK
DOM,SVD
SHE,TAO
BEY,CDG
KLO,ICN
LED,NCE
LAX,RDU
STR,CAG
AMS,TRF
FOC,KWL
BRE,SKG
SKG,ARN
MDW,ABQ
MSN,LGA
CDG,LGW
DWC,LED
ORD,SJD
YYZ,SEA
WUH,URC
MRU,BOM
RAE,JED
CLJ,VIE
AUH,LHR
BJV,IST
LAS,GRI
OTP,VRN
MIA,RTB
XMN,KWL
SYD,ASP
SIN,CGK
MIA,PNS
MEM,BWI
AVP,ORD
PNH,TPE
JFK,BNA
CCU,IXA
PBG,SFB
SIN,CGK
ICN,MNL
DME,RIX
IEV,VKO
MRY,PHX
YUL,YGL
KOA,JHM
AAQ,DME
CAI,TIF
CPH,MXP
EDI,PMI
BCN,LGW
DUB,TLS
LLA,UME
DSN,CKG
TNJ,CGK
NTL,BNE
ORY,OZZ
ORD,CVG
GZT,IST
FOC,HAK
YYZ,YEG
SVO,MMK
DXB,DEL
LUX,BVC
PIT,BWI
HKD,NGO
UYN,XIY
SZB,SIN
CKG,XMN
BCN,AGP
CVG,SFB
VIE,FRA
TFS,BFS
VNO,AES
YEG,YYC
LIS,WAW
CAN,JIU
BUF,FLL
RYG,PMI
DEL,AMD
MMB,CTS
STN,LRH
BEG,CDG
ORD,FLL
BOM,HKG
XIY,SJW
IEV,KTW
LHR,TLS
MSP,DCA
CSX,KWE
DLC,SHP
NME,OOK
DJE,FRA
HAD,VXO
DKR,CKY
CFS,SYD
ATL,MCO
EVN,GOJ
EWR,CVG
SYD,SIN
DNK,TBS
MIA,STI
KTM,DEL
LAX,PIT
BOM,MAA
GDL,SFO
NKG,CAN
CLE,ATL
TAO,BKK
ATL,IAD
GLA,YYZ
TYN,PEK
JZH,CTU
ACE,LGW
BOM,LKO
TXL,MAD
JFK,CMH
TSE,FRA
RUH,AMM
OSL,PSA
SZB,KBR
CVG,ORD
KZN,LBD
MYJ,HND
BKK,PVG
MUC,SBZ
AMS,IAH
CEB,SUG
CSX,URC
PEK,KMG
HKG,YVR
BHX,DUB
LCY,ARN
IST,NUE
HAN,REP
LHR,DXB
RTW,MRV
NNG,CSX
DEL,VNS
CUU,TIJ
CGO,YTY
JNB,CPT
BAH,FRA
HND,HIJ
MUC,BDS
BIO,AMS
TMC,DPS
AYT,LEJ
YGJ,HND
