source_airport,destination_airport
NNG,SZX
TAO,DLC
ACX,CKG
DAY,DFW
FUE,LEJ
CLT,BTR
CTU,KRL
CLE,DFW
ACC,TML
PFO,MAN
CCS,PTY
MAA,BLR
AGP,PIK
CDG,OSL
ICN,AMS
SVZ,CCS
PHX,SAT
HFE,NNG
ATH,CFU
VRA,YUL
IBZ,MUC
YQT,YXL
SEA,IAH
TSF,EIN
USM,HKG
LGB,SFO
HGH,KMG
MIA,SSA
MGQ,EBB
ACE,BHX
SVO,VVO
LAS,BWI
LDH,SYD
LAS,YVR
GOT,TXL
PHL,SFO
SBA,DEN
CTA,LGW
BKI,MNL
BRU,NTE
MRS,AGP
SFO,ZRH
BLR,COK
WUX,CAN
AHO,NYO
DXB,BUZ
XAP,POA
ORD,PAH
LRR,THR
CAN,JJN
BOM,PAT
KBP,HEL
MCI,DAL
PMI,BSL
JFK,PWM
DEN,CYS
HAM,DUS
KWE,CSX
DEL,PAT
TBP,LIM
UFA,KZN
CTU,HRB
BOM,IDR
VIE,JTR
LGA,CLE
MHH,PBI
TFN,BCN
DTW,ERI
CAN,HJJ
REC,NAT
YZF,YEG
CMH,RSW
CLT,IAH
LBA,TFS
ZYI,HAK
CAN,YCU
PRG,FCO
BRU,MRS
SVO,VAR
PTY,LAX
CTU,AKU
CEB,CRK
PEK,XMN
TLV,AMM
RHO,DUS
LIN,AHO
THL,HEH
SDF,DTW
AKL,BNE
CCS,PZO
CGN,IKA
FCO,BRU
TFS,GLA
FLN,CGH
GYE,BOG
FRA,AUH
NKG,CTU
BDL,FLL
BFS,BHX
TSE,FRA
ATL,PBI
FNC,LGW
BAQ,PTY
DKR,ABJ
BRI,LIN
NIM,OUA
GOT,BLE
MDT,ATL
ORD,DSM
CAN,XIY
HAN,ICN
WMI,BGY
ATL,MSY
CPH,VIE
COK,DEL
PEK,CDG
BOG,NVA
CUN,TAM
NRT,SPN
OTP,CDG
LCY,BES
TLV,BEG
IDA,SLC
MXL,GDL
MGA,SJO
NCL,ALC
MAN,BJV
VII,BMV
TAO,CGO
JFK,LAX
LOS,FRA
YNT,TNA
BNE,DRW
BLJ,ORY
MMX,VBY
CLT,CAE
DUB,KIV
TRD,SSJ
HGH,ZUH
GSO,DCA
EWR,ORY
MDW,DSM
PEK,CNX
XMN,TNA
BWI,ORD
FCO,MLA
KUL,SUB
AUH,MCT
NDR,BCN
SYR,CLE
HEL,LED
PHX,CUN
TYN,DYG
BRI,OTP
KHN,CKG
BLR,BKK
SVQ,BLQ
VVO,PKC
VKO,TBW
TPE,TAO
RAS,BND
EWR,STT
HBE,JED
DEL,DAC
ARN,MHQ
DME,STW
TYN,PUS
LCH,DFW
DPS,SIN
ITM,KMJ
EIN,INN
ZAG,TXL
HPH,SGN
CLE,PHX
RDU,JFK
CMH,JFK
AMM,DMM
OKC,MSP
TPE,FOC
HAM,PRN
NCE,TLS
ATL,ORD
HET,HLD
JFK,SFO
CBB,TJA
CMB,RUH
BRU,FRA
JSU,SFJ
SYD,DPS
ULB,CCV
ICN,HKG
MEX,ZIH
GOT,BRU
MHD,ADU
BRU,MUC
LBA,MLA
TSN,CSX
APO,EOH
VBY,ARN
ATL,IAD
HKG,FUK
BCN,VCE
BUD,DUB
MUC,MEX
PEK,ALG
MXP,PEK
GSE,VBY
ABJ,CKY
SOF,BVA
HAM,NAP
SSA,VIX
GIZ,JED
OSL,LCA
AKU,CTU
MEM,ATL
BCN,GOT
LHW,CAN
MSP,RSW
VIE,MAD
AMS,ALA
ZRH,RMF
MXP,MCT
SDU,POA
SHE,XUZ
BWI,PHL
XIY,SHA
DJE,LIL
RTM,PMI
SCO,GYD
ODS,SHJ
RUH,FCO
BHV,ISB
PVG,SHE
ORD,JAX
BKK,SGN
SHJ,DAC
KBL,DXB
NCL,PFO
ORD,ATL
BKK,NRT
DLA,BRU
GUM,PUS
ZRH,PHL
ATL,IAD
YSG,YZF
DJJ,OKL
SJD,CUL
BWN,MNL
ECN,IST
MDE,BGA
GDL,MTY
TMP,ARN
ATH,SKU
DEL,AMS
CGR,BSB
GOI,BLR
RIC,FLL
DXB,KRT
HEL,CDG
BLR,GOI
YTY,WUH
DEN,MKE
CDG,ATL
NAS,BWI
SHE,ICN
EWR,ORY
BRU,OPO
FCO,BOD
SKP,VIE
BRU,EDI
JFK,PSE
FAO,DUS
SEA,YVR
LYI,DLC
KUL,AOR
BRU,DLA
SYD,HBA
DYU,REN
LHR,DEL
BLR,MAA
FLN,GIG
PMV,CCS
KWE,SHA
HBA,MEL
FCO,KIV
MFM,SHA
ACE,MUC
CLT,PVD
DZA,HAH
TIF,DXB
DUS,TUN
BRU,KBP
PEK,VVO
CPH,CHQ
CMN,TLS
DXB,ELQ
CTU,DSN
BHX,WAT
DXB,DYU
ESM,GYE
KAL,NUL
SDL,GOT
FOR,SLZ
SYD,BME
NCL,CDG
SEA,ATL
SAW,DXB
WUX,CAN
MEL,ADL
FUE,BCN
NGO,TAO
PGF,ORY
YYZ,ATL
ATL,SDF
FCO,GIG
RUN,DIE
WLG,TRG
CGN,CTA
EZE,JFK
MLA,HAM
CAE,DFW
KSY,ESB
VIJ,SJU
BKK,PUS
WUH,CGQ
CDG,RHO
CDG,BOD
OTP,AHO
CGB,GYN
LGW,SAW
MKE,PHX
AES,AMS
AZA,EUG
CEK,DME
KRS,SVG
EBU,FEZ
SGN,BKK
LIS,HEL
TLS,AGP
WRO,LPL
TRN,MLA
MUC,ZAG
DTW,MSY
DPS,WGP
SVG,LGW
SYD,HNL
BKK,BLR
YYC,NRT
SDJ,OKA
DUS,CAG
BAH,FRA
MUC,AMS
KZN,ALA
SIN,MNL
AYP,LIM
LGW,NOC
COK,DXB
CGO,SHA
BNI,ABV
NAN,BNE
SYX,KWE
LHR,PHL
SSA,GIG
ICN,AXT
GBE,CPT
RGN,CCU
ATL,SAN
MWX,TSN
LGW,CUN
GSE,BUD
AGP,HAM
JIB,ADD
LIS,WAW
SFB,LAN
LYS,VCE
LGW,YYZ
DUB,MAD
LIL,NCE
BGO,SVG
LIS,MAD
JNB,WDH
ADD,LAD
DXB,SVO
GLV,WMO
ANF,LSC
MAN,RHO
TUU,AHB
DJG,TMR
SZX,NAO
MCO,PHL
BLR,SIN
KOK,HEL
PGV,CLT
BOG,CTG
CPH,EIN
FLL,TLC
LIH,PHX
SJW,CSX
SYX,PEK
HAN,BKK
FRA,GYD
CKG,TPE
ABI,DFW
DMK,NST
YYZ,ANU
BOD,LGW
CGD,CAN
SVO,KJA
AMS,GRU
NTE,MAD
CIF,DLC
LAX,RDU
CKY,DKR
ANU,FRA
XIY,HGH
CDG,SVO
PMI,BHX
AMM,KRT
PHX,HMO
HRB,CIF
SIN,KUL
COO,DLA
VVI,IQQ
YNB,JED
JFK,PHX
PMI,DRS
MPA,ERS
KGS,MUC
BGO,BCN
MAD,OPO
PHL,FCO
AMM,KBP
JFK,LIR
LCY,NTE
IAH,VER
IST,BKK
DME,MAD
CRL,BOD
TPS,CRL
ORD,GSP
STR,NAP
UBA,UDI
RDN,SZB
TPE,KMG
YBC,YQB
LHW,URC
WMI,DUB
NAO,PEK
CPH,SJJ
BOG,PDA
SIN,TAS
ORD,TPA
ATL,ELP
KSF,PMI
ECN,ADA
URC,XIY
ATL,MEX
JBQ,PAP
SEA,ABQ
NRN,LEI
ALC,KEF
MXP,BEY
PHX,MSY
PVR,YVR
SJO,NOB
HLD,HET
PHL,LHR
TFN,AGP
SDU,GRU
BFS,EWR
MAN,NAP
PFO,LTN
CAK,CLT
TLH,TPA
TNG,LGW
UPG,AMQ
DEL,GOI
WAW,MXP
CMN,AGP
TLV,VIE
DUS,ESB
RMA,CTL
DTW,PHL
ABZ,EBJ
CLT,SFO
EBL,DXB
GSO,PHL
SYZ,AWZ
HRG,TXL
OSL,MXP
PSA,CIY
CCS,LSP
SJC,LAX
NAN,CXI
LBL,DDC
LJG,KMG
JFK,LHR
BVA,BLQ
TYN,SHA
KNX,PER
MKE,BWI
RIX,HEL
MAN,PMI
HUY,JER
LHR,SAN
EWR,MAN
ALA,GUW
CTA,GVA
LED,PEK
HSV,ORD
WNZ,SJW
HLH,NAY
JDZ,XIY
DLC,TNA
DEN,MSP
JNB,ZRH
SKG,MUC
POM,VAI
CLT,EWR
CAN,HKT
BOM,CAI
TXL,AOI
MAD,HAV
MSP,MIA
SXF,STN
DME,NSK
CKG,CGO
ALG,MRS
BHX,BCN
FCO,OTP
BFN,DUR
HRE,DUR
SAT,IAD
DUR,DXB
VAR,SOF
YVR,SEA
BTV,EWR
LED,TAS
HOU,ATL
LTN,AGP
IBZ,NCL
PDX,BOS
JFK,SCL
SAN,MSY
ICN,YVR
BOM,KUL
MEX,CEN
BCN,OTP
KUF,EVN
KUD,SDK
HAV,SCU
TFS,LGW
TLL,OSL
AMS,DTW
IAD,CDG
DME,MSQ
CBB,LPB
LHR,ATH
DEN,EWR
VER,MTY
JFK,MSY
ABQ,MCI
XIY,HEL
POM,LAE
KRS,BGO
TFN,VLC
MAN,LPA
NGB,YIH
LHW,CGO
LLK,LED
HSG,PVG
NOU,VLI
DEN,GEG
LDE,BRU
SOF,IST
FRA,KIX
DFW,RIC
JFK,ABQ
MHT,BWI
RSW,PHL
YWK,ZUM
SEA,DFW
LCA,SOF
JFK,LAS
AMS,BOD
MAA,MLE
YKS,VVO
NNG,KWL
VIE,VOL
DCA,MIA
TYN,MFM
XIY,KMG
VTE,BKK
ICT,DAL
CNF,CGB
DFW,GGG
ORY,ORN
ATL,TUS
MAD,TNG
HNL,SAN
ORD,MSP
GVA,LPA
FRA,JFK
DCA,DEN
ARN,MUC
YNZ,XMN
MEL,SIN
KIX,PUS
GIU,TRR
MFM,CKG
CTU,SHE
ATL,JAX
LHW,PVG
EWR,ATL
CPH,LUX
TPE,KIX
FLL,KIN
FCO,ATH
TIJ,MEX
KHH,FOC
SIN,CNX
TPE,KUH
BRE,LPA
BNE,SIN
YXY,YVR
JED,PZU
BLQ,ZAG
PEK,JXA
NNG,SYX
SZX,TXN
FMM,STN
SAN,EWR
SJD,PHX
MIA,CCS
POA,PFB
KGS,RHO
OTP,CPH
IAH,MCO
TLV,BCN
DTW,YOW
WLG,MEL
SLC,LGB
SVG,NCL
POZ,EDI
SEA,KTN
UTH,CNX
CAI,AMS
IKT,BTK
CTS,PVG
GIG,CWB
BEN,AMM
UUS,CTS
AMQ,SOQ
EMA,ORK
STN,CHQ
LBV,COO
ORY,LIS
NBO,JED
JFK,GYE
CNF,SSA
OAJ,ATL
HGH,YNT
PEW,KHI
DTW,PWM
YYC,AMS
OKA,HKG
OMA,DCA
ATH,JSH
FLL,TPA
LCY,DRS
BRU,AGP
YUL,JFK
LPA,ZRH
LHR,NCE
SLC,CDG
HKG,MXP
SEA,HND
ASU,GRU
AYP,LIM
FTE,AEP
NTE,BCN
MYJ,HND
SYZ,MHD
ILO,MNL
MEX,DFW
PHL,MDW
ATL,MCI
JHW,CLE
DXB,DFW
AMS,JTR
BVA,POZ
URC,SZX
LGW,RHO
KOW,CAN
ATL,ABE
BND,SYZ
TLV,AMS
PEK,YIW
HAQ,DRV
HET,SHE
AMS,FCO
HAM,PMI
FOC,SHA
OPO,BRU
URC,KRL
NUX,SVX
YYZ,YQR
RTB,GUA
OSS,OVB
IAH,LAX
DEN,PIR
FLL,LAX
TPE,HGH
LAX,ANC
MNL,LHR
SJU,PUJ
CSX,SWA
NTE,AMS
CAC,VCP
BOG,UIO
HKG,KHH
SOU,BES
KUL,TRZ
BOG,CLO
VCE,TXL
PDX,BOI
CWL,TFS
BYC,SRZ
VNO,KUT
RIC,IAD
MUC,FUE
CUN,BOG
CDG,NCL
MSP,EWR
SXM,JFK
DUS,MAD
MZT,LAX
ZUH,SHA
NKG,TYN
PDX,JFK
IXS,GAU
MUC,DUB
BNE,CTL
IAH,MCO
COO,ABJ
SHA,WNZ
CTU,SZX
ARN,FCO
FOC,CSX
GLA,STN
ANC,CDV
PHX,MSP
OPO,LIS
RYG,AGP
DFW,FLL
SKD,TAS
MAD,RAK
HRB,PEK
DWC,KWI
MUC,IAH
SAN,LAX
VIE,SPU
ARN,OER
DMK,SZX
ORD,CMH
NRT,BOM
MEX,GDL
CNX,HKG
SHA,HND
MXP,TIA
UIO,MDE
MDW,ALB
KBP,BCN
GYD,VIE
VCE,LGW
HEL,PRG
ATL,PVD
OSS,IKT
PRA,AEP
DAC,CCU
DTW,FLL
TPE,DPS
CKG,KWL
ASR,AMS
SCN,HAM
YYT,YJT
CMN,LGW
GOQ,XNN
YYC,DFW
YQR,ORD
ORD,ICT
HKT,PEK
SJW,CTU
UVF,GND
CNS,BNE
GCM,HAV
PVG,HAK
DME,ROV
HFE,SHE
ABV,ENU
LED,VNO
AUH,JED
WNZ,SYX
LDY,FAO
MHD,HDM
HAN,PUS
LGW,FAO
QRO,IAH
ADD,NBO
KAN,CAI
MAN,DLM
EXT,PMI
LGW,TOS
ORN,CDG
CTU,KHG
INC,XIY
TNA,CAN
PMI,STN
PRG,TFS
YUL,YYG
BHM,DTW
PMI,LEJ
DME,DUS
WGP,DPS
MUC,SKG
PEG,OTP
JED,MAN
DNK,IST
JFK,FCO
FUJ,NGS
FRU,ALA
SZX,CGQ
SFO,TPE
MAN,IBZ
KBP,IFO
ELQ,MED
MAN,FNC
ONG,DMD
TAO,NGO
GVA,ATH
FCO,IKA
DEL,DXB
UNG,POM
XMN,CGO
CLT,BHM
VCE,DUS
TSA,MZG
DYU,FRU
ALC,VXO
SJW,HRB
TSF,MLA
NRT,DEN
LGA,MKE
DEL,PEK
BZR,BVA
SSA,REC
KRT,JUB
LAX,FRA
AZA,STC
IAH,HOB
VNO,HEL
JED,LHE
BSL,LPA
RIX,VCE
HFE,CTU
CTS,MMB
SCQ,BRU
CGO,TPE
LBB,DEN
KBP,LIS
WNZ,PEK
FUK,HND
IST,MSR
MFM,ICN
BGY,VNO
MEX,ACA
ODS,DME
AMS,YYC
ORD,LNK
TPS,FKB
FON,XQP
MSP,XNA
TNA,CKG
PSA,PRG
CWL,ALC
YSB,YAM
MEX,SJO
