source_airport,destination_airport
CID,DFW
TLV,BKK
NQN,MDZ
MUC,DXB
BCN,DRS
KRK,MAD
DPS,BMU
JFK,SAT
HAM,CTA
JMU,HRB
LGA,CHO
CHC,SYD
DFW,ATL
TPE,FOC
BBA,PMC
XMN,WUH
YNT,PEK
LAX,SAN
RSW,HPN
PEK,KMG
PIT,YYZ
STN,RIX
DXB,HAM
WUH,LHW
HGH,KHH
YYZ,ATL
CPT,HLA
BKK,CGO
TNA,FOC
LAS,MCO
HFE,HRB
PMF,TPS
LTN,AGP
IST,ALG
ATL,BRU
SGN,VKG
MED,MUX
TIJ,NRT
YYZ,PVG
TIF,AHB
HMI,URC
LGA,YYZ
DME,RIX
SZX,SHE
MYJ,ICN
MXP,MAD
AUS,LAX
FLR,ORY
YUL,YMT
BHX,GCI
ICN,HRB
OKC,ATL
CVU,HOR
MSP,MOT
LIS,MXP
MAA,AUH
DUB,NCE
SLC,RNO
RST,AZA
DSM,LAS
MXP,VIE
BCN,IST
DUS,PMI
SXF,SOF
LAX,NRT
DXB,ZRH
JDZ,CAN
LGW,MAH
VKO,URS
FDF,YUL
SAL,MIA
ZYL,DAC
FCO,AGP
LUX,FNC
TYN,LJG
CWB,GRU
IST,DMM
BOM,JAI
NBO,JIB
KOP,DMK
PIR,DEN
DTW,MDT
PVG,XIY
CWB,CGH
TPA,TLH
TXL,SPU
EVN,ATH
PRG,MAD
TJA,CBB
KUL,BKK
BRU,KBP
SHJ,PNQ
YWK,YYR
PHL,MSP
KIX,HRB
MUC,HAM
HUI,SGN
PSA,CTA
JBQ,PAP
ATH,KRR
KIN,JFK
MOV,BNE
CHY,GZO
SFB,HGR
PHX,IND
LAX,ORD
ALA,AUH
MKE,MSY
DSA,PMI
KIV,BLQ
BGA,MDE
LIM,LAX
TLV,SXF
ORD,YUL
OVB,NJC
DMM,DXB
BKK,ARN
CAN,LYA
TAO,ICN
FCO,CDG
YSO,YYR
AMS,LAD
SYD,CNS
ORD,PIT
AGP,LTN
SAW,EDO
ATL,BDL
CSX,KMG
CGK,HKG
GRU,MEX
SLZ,GIG
EMA,MJV
VLV,CCS
XNA,ATL
LRM,MXP
NGB,WUH
WUH,XNN
KJA,FRU
TPA,ATL
SDD,LAD
