iata,long,lat
YFS,-121.236999511718,61.7602005004882
YMO,-80.6078033447265,51.2910995483398
YZF,-114.440002441406,62.4627990722656
SXF,13.522500038147,52.380001068115
FRA,8.5705556,50.0333333
HAM,9.9882297515869,53.630401611328
MUC,11.786100387573,48.353801727295
TXL,13.2876996994,52.5597000122
PAD,8.61631965636999,51.6141014098999
LTN,-0.368333011865615,51.874698638916
LSI,-1.29556000232696,59.8788986206054
INV,-4.0475001335144,57.5424995422363
GLA,-4.43306016922,55.8718986511
SYY,-6.33111000061035,58.2155990600585
EIN,5.37452983856,51.4500999451
LUX,6.2044444,49.6233333
OSL,11.100399971008,60.193901062012
KTW,19.08,50.4743
BEW,34.907600402832,-19.7964000701904
TET,33.6402015686035,-16.1047992706298
HGA,44.0887985229492,9.51817035675048
BEN,20.2695007324,32.0968017577999
TIP,13.1590003967,32.6635017395
DBV,18.2681999206542,42.5614013671875
OVD,-6.03461980819702,43.5635986328125
BCN,2.0784599781036,41.297100067139
IBZ,1.37311995028999,38.8728981018
MAD,-3.56264,40.471926
AGP,-4.49911022186279,36.6749000549316
FSC,9.09778022766113,41.5005989074707
MRS,5.22142410278,43.439271922
CDG,2.54999995232,49.0127983093
BSL,7.5291667,47.59
BUD,19.2555999755999,47.4369010924999
BDS,17.947001,40.6576
MXP,8.72811,45.6306
NAP,14.2908,40.886002
PSA,10.3927,43.683899
PRG,14.26,50.1008
TLV,34.8866996765136,32.0113983154296
MLA,14.4775,35.857498
VIE,16.569700241089,48.110298156738
LIS,-9.13591957092,38.7812995911
GVA,6.10895013809204,46.2380981445312
ZRH,8.5491695404053,47.464698791504
AYT,30.800501,36.898701
BEG,20.3090991974,44.8184013367
SDQ,-69.668899536133,18.42970085144
HMO,-111.047996521,29.0958995819
NAN,177.442993164062,-17.7553997039794
NOU,166.212997436523,-22.0146007537841
CHC,172.531997680664,-43.4893989562988
AMM,35.9931983948,31.7226009369
DXB,55.3643989563,25.2527999878
MCT,58.2844009399414,23.5932998657226
MJD,68.1430969238281,27.3351993560791
SKZ,68.7917022705078,27.7220001220703
NRT,140.386001587,35.7647018433
UBJ,131.279006958,33.9300003052
FUK,130.45100402832,33.5858993530273
HND,139.779999,35.552299
CJU,126.49299621582,33.5112991333007
CNF,-43.9719429016113,-19.6244430541992
GIG,-43.2505569458,-22.8099994659
VVI,-63.135398864746,-17.6448001861572
ALA,77.0404968261718,43.3521003723144
FRU,74.4776000977,43.0612983704
PLX,80.2343978881836,50.3512992858886
YKS,129.77099609375,62.0932998657226
KRR,39.170501708984,45.034698486328
SVX,60.802700042725,56.743099212646
UFA,55.874401092529,54.557498931885
BOM,72.8678970337,19.0886993408
HKG,113.915000916,22.3089008331
AKY,92.8725967407226,20.1326999664306
RGN,96.1332015991,16.9073009490999
PKU,101.444999694824,0.460786014795303
CGK,106.65599823,-6.1255698204
KUL,101.70999908447,2.745579957962
BNE,153.117004394531,-27.384199142456
OOL,153.505004883,-28.1644001007
CNS,145.755004883,-16.885799408
ISA,139.488998413,-20.6639003753999
ROK,150.475006104,-23.3819007874
SYD,151.177001953125,-33.9460983276367
PEK,116.584999084472,40.0801010131835
TSN,117.346000671,39.1244010924999
CAN,113.299003601074,23.3924007415771
CGO,113.841003418,34.5196990966999
WUH,114.208000183105,30.783800125122
XIY,108.751998901367,34.4471015930175
KMG,102.9291667,25.1019444
FOC,119.66300201416,25.9351005554199
HGH,120.43399810791,30.2294998168945
NGB,121.461997985839,29.8267002105712
NKG,118.861999511718,31.7420005798339
TAO,120.374000549,36.2661018372
CTU,103.946998596191,30.5785007476806
XIC,102.18399810791,27.9890995025634
KHG,76.0199966431,39.5429000854
URC,87.4741973876953,43.9071006774902
DLC,121.539001464843,38.9656982421875
PVG,121.805000305175,31.1434001922607
SFO,-122.375,37.6189994812011
LAX,-118.4079971,33.94250107
SLC,-111.977996826171,40.7883987426757
IAH,-95.3414001464843,29.9843997955322
ELP,-106.3779984,31.80719948
MIA,-80.2906036376953,25.7931995391845
SEA,-122.30899810791,47.4490013122558
YUM,-114.6060028,32.65660095
BET,-161.8379974,60.77980042
SAV,-81.20210266,32.12760162
OME,-165.445007324218,64.5121994018554
RDU,-78.7874984741211,35.8776016235351
DTW,-83.353401184082,42.2123985290527
TPA,-82.533203125,27.9755001068115
DFW,-97.0380020141601,32.896800994873
TYS,-83.9940033,35.81100082
ATL,-84.4281005859375,33.6366996765136
LGA,-73.87259674,40.77719879
MKK,-157.095993041992,21.1529006958007
HNL,-157.921997070312,21.3187007904052
PHL,-75.241096496582,39.871898651123
CMH,-82.8918991088867,39.9980010986328
BHM,-86.75350189,33.56290054
ORD,-87.90480042,41.97859955
MSP,-93.2218017578,44.8819999694999
CLT,-80.9430999755859,35.2140007019043
ICN,126.450996398925,37.4691009521484
VNO,25.2858009338378,54.6341018676757
KIX,135.244003295898,34.4272994995117
PMI,2.73881006241,39.551700592
SDF,-85.736,38.1744
DME,37.9062995910644,55.4087982177734
CMI,-88.27809906,40.03919983
FNC,-16.774499893188,32.697898864746
RDD,-122.2929993,40.50899887
TRI,-82.4074020385742,36.4752006530761
JIB,43.1595001220703,11.5473003387451
SHE,123.483001708984,41.6398010253906
BPS,-39.0808982849121,-16.4386005401611
FAR,-96.815803527832,46.9207000732421
XNA,-94.306801,36.281898
SBN,-86.3172988891601,41.708698272705
YFA,-81.6968994140625,52.2014007568359
ERS,17.0804004669189,-22.6121997833251
EGO,36.5900993347168,50.643798828125
BHQ,141.472000122,-32.0013999939
BUC,139.533996582031,-17.7486000061035
DMD,138.822006225585,-17.9402999877929
MQL,142.085998535,-34.2291984557999
ZUH,113.375999,22.006399
LZH,109.390999,24.2075
LYI,118.412002563476,35.046100616455
TXN,118.255996704101,29.733299255371
WUX,120.429000854,31.4944000243999
AZA,-111.6549988,33.30780029
MPA,24.176700592,-17.6343994141
WAA,-168.095,65.622593
AGM,-37.6183354855,65.6122960846999
ULK,114.825996399,60.7206001282
WNA,-161.97900390625,60.6902999877929
ZYI,107.0007,27.5895
